brand,category,name,img,price,event
GS25,도시락,타코야끼,http://gs25appimg.gsretail.com/imgsvr/item/GD_2700014010269_001.jpg,2800,
GS25,도시락,한상가득도시락,http://gs25appimg.gsretail.com/imgsvr/item/GD_2700011010408_001.jpg,3800,
GS25,도시락,한입비빔만두,http://gs25appimg.gsretail.com/imgsvr/item/GD_2700014010467_001.jpg,3200,
7-eleven,라면,가쓰오우동,http://www.7-eleven.co.kr/upload/product/8801007/009377.1.jpg,2900,증정행사
7-eleven,라면,얼큰우동한그릇,http://www.7-eleven.co.kr/upload/product/8801007/065946.1.jpg,2900,증정행사
전체,라면,가쓰오우동컵,http://cdn2.bgfretail.com/bgfbrand/files/product/8801007009377.jpg,2900,
전체,라면,매콤달콤우동볶이,http://cdn2.bgfretail.com/bgfbrand/files/product/DA5CC758EB6B4227B8A6EEE71A54FBC3.jpg,2900,
전체,라면,스윗토마토스파게티,http://cdn2.bgfretail.com/bgfbrand/files/product/D510FFEBDDAD4038BB31DA050E2B0FD6.jpg,2900,
전체,라면,얼큰가쓰큰우동컵,http://cdn2.bgfretail.com/bgfbrand/files/product/B4CA3BD431844F6A84748110AAD7A6C6.jpg,2900,
전체,라면,얼큰육개장면,http://cdn2.bgfretail.com/bgfbrand/files/product/CFC9968F30D9468C904B3554483E5925.jpg,2900,
전체,라면,얼큰짬뽕,http://cdn2.bgfretail.com/bgfbrand/files/product/F95F5161B6F14C1FAFEE4E1A9000C08E.jpg,2900,
전체,라면,정통중화짜장면,http://cdn2.bgfretail.com/bgfbrand/files/product/1B959C87C5554E6CB6078F73A1BA2FE5.jpg,2900,
CU,라면,시원한바지락칼국수,http://cdn2.bgfretail.com/bgfbrand/files/product/C2E2C5595A4C4EED897B8BA78392ECBB.jpg,1800,
CU,라면,오사카식튀김우동,http://cdn2.bgfretail.com/bgfbrand/files/product/B48FD9290B2847B2A55D193761AE9FAD.jpg,1700,
CU,라면,듬뿍어묵우동,http://cdn2.bgfretail.com/bgfbrand/files/product/157BBC3AB7534B3E9AABCD0177AA5D3D.jpg,2900,
